filename,success,error,before_altcontent,before_comments,before_styles,before_sdt,before_customxml,before_revisions,before_rels,after_altcontent,after_comments,after_styles,after_sdt,after_customxml,after_revisions,after_rels,fixes_total,altcontent_processed,comments_removed,styles_deduped,numbering_fixes,contenttypes_added,customxml_action,complexity_score,processing_impact
template-portugal-cuevas,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,removed,0,1
template-property-pool,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,kept,0,0
template-ralei,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,kept,0,0
template-riga,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto-activa,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,kept,0,0
template-salvoconducto-asset,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto-euro,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto-guardiamarina,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto-peru,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto-preliminar,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto-ralei,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-salvoconducto-tegualda,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-sancarlos,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,kept,0,0
template-santaisabel,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-santo-domingo,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-sara,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-situ,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-solo-corretaje,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,kept,0,0
template-subarriendo-sin-garantia,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,removed,0,1
template-tegualda,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-tvm,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-ureta,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-vcentral,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template-vespucio-switch,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9,kept,0,4
template_carta_renovacion,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,removed,0,1
template_carta_termino,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
template_multifamilty_renovacion,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,removed,0,1
template_multifamily_renovacion,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,removed,0,1
template_termino_contrato_anticipado,true,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,kept,0,0
